country,avgMntTransportCost
United Kingdom,110.66000000000001
Australia,114.375
NY,134.0
New Zealand,128.92000000000002
Ireland,111.17
Canada,81.64
Denmark,81.03
Switzerland,92.63000000000002
OR,100.0
WA,99.0
CA,83.33333333333333
Sweden,78.08
PA,96.0
France,84.375
Singapore,90.9
MA,90.0
UT,89.0
Netherlands,73.838
CO,88.0
South Africa,66.09
Norway,79.08333333333333
United Arab Emirates,53.09
HI,80.0
DC,80.0
Finland,73.715
Iceland,75.23
IL,75.0
FL,66.0
Austria,58.75
Israel,62.03333333333333
Hong Kong (China),64.36
NV,62.0
NC,60.0
Japan,59.13
TX,50.0
Croatia,46.655
Cyprus,53.97
Germany,53.092941176470575
Belgium,53.97
Kuwait,48.97
Uruguay,48.17
Italy,40.76714285714286
South Korea,44.97
Brazil,43.28
Spain,31.700000000000003
Portugal,43.17
Chile,42.4
Jordan,42.31
Poland,31.2125
Colombia,40.81
Turkey,24.64
Slovenia,40.47
Slovakia,38.86
Thailand,38.53
Russia,27.076666666666668
Taiwan,37.44
Saudi Arabia,35.95
Qatar,35.75
China,28.479999999999997
Bulgaria,29.356666666666666
Kenya,32.9
Latvia,32.38
Estonia,26.580000000000002
Greece,30.76
Lithuania,30.759999999999998
Bosnia And Herzegovina,29.38
Romania,19.87
North Macedonia,26.3
Morocco,24.25
Serbia,22.576666666666668
Peru,24.02
Hungary,22.02
Czech Republic,23.64
Iraq,22.92
Bangladesh,20.4
Azerbaijan,19.12
Mexico,18.16
India,10.108
Albania,17.5
Belarus,15.62
Kazakhstan,14.629999999999999
Georgia,14.6
Ukraine,12.010000000000002
Moldova,13.05
Vietnam,10.415000000000001
Indonesia,12.84
Malaysia,11.49
Argentina,11.0
Uzbekistan,10.71
Armenia,10.35
Algeria,10.09
Iran,10.0
Nepal,8.92
Sri Lanka,6.82
Egypt,6.16
Pakistan,5.140000000000001
Luxembourg,0.0
